State,Population,Density
California,39747267,255
Texas,29087070,111
Florida,21646155,404
New York,19491339,414
Pennsylvania,12813969,286
Illinois,12700381,229
Ohio,11718568,287
Georgia,10627767,185
North Carolina,10497741,216
Michigan,10020472,177
New Jersey,8922547,1213
Virginia,8571946,217
Washington,7666343,115
Arizona,7275070,64
Massachusetts,6939373,890
Tennessee,6833793,166
Indiana,6718616,188
Missouri,6147861,89
Maryland,6062917,625
Wisconsin,5832661,108
Colorado,5770545,56
Minnesota,5655925,71
South Carolina,5147111,171
Alabama,4898246,97
Louisiana,4652581,108
Kentucky,4484047,114
Oregon,4245901,44
Oklahoma,3948950,58
Connecticut,3567871,737
Utah,3221610,39
Iowa,3167997,57
Puerto Rico,3113659,900
Nevada,3087025,28
Arkansas,3026412,58
Mississippi,2987895,64
Kansas,2910931,36
New Mexico,2096034,17
Nebraska,1940919,25
West Virginia,1791951,75
Idaho,1790182,22
Hawaii,1416589,221
New Hampshire,1363852,152
Maine,1342097,44
Montana,1074532,7
Rhode Island,1056738,1022
Delaware,975033,500
South Dakota,892631,12
North Dakota,760900,11
Alaska,735720,1
District of Columbia,711571,11665
Vermont,627180,68
Wyoming,572381,6
