City,State,Population,Area,Density,Lat,Lng
Birmingham,Alabama,209880,146.1,1452,33.5274,-86.799
Huntsville,Alabama,197318,213.4,905,34.699,-86.673
Mobile,Alabama,189572,139.4,1384,30.6684,-88.1002
Montgomery,Alabama,198218,159.8,1252,32.3472,-86.2661
Tuscaloosa,Alabama,101113,71.7,1399,33.2065,-87.5346
Anchorage,Alaska,291538,1706.6,175,61.1743,-149.2843
Chandler,Arizona,257165,64.9,3813,33.2829,-111.8549
Gilbert,Arizona,248279,68,3487,33.3103,-111.7431
Glendale,Arizona,250702,59.1,4161,33.5331,-112.1899
Mesa,Arizona,508958,137.9,3514,33.4019,-111.7174
Peoria,Arizona,172259,175.7,934,33.7862,-112.308
Phoenix,Arizona,1660272,517.6,3120,33.5722,-112.0901
Scottsdale,Arizona,255310,183.9,1341,33.6843,-111.8611
Surprise,Arizona,138161,107.9,1230,33.6706,-112.4527
Tempe,Arizona,192364,40,4562,33.3884,-111.9318
Tucson,Arizona,545975,230.8,2299,32.1531,-110.8706
Little Rock,Arkansas,197881,118.7,1673,34.7254,-92.3586
Anaheim,California,352005,50,7021,33.8555,-117.7601
Antioch,California,111535,29.4,3772,37.9791,-121.7962
Bakersfield,California,383579,148.8,2529,35.3212,-119.0183
Berkeley,California,121643,10.5,11547,37.867,-122.2991
Burbank,California,103695,17.4,6003,34.1901,-118.3264
Carlsbad,California,115877,37.7,3023,33.1239,-117.2828
Chula Vista,California,271651,49.6,5387,32.6277,-117.0152
Clovis,California,112022,24.2,4404,36.8282,-119.6849
Concord,California,129688,30.5,4221,37.9722,-122.0016
Corona,California,168819,39.5,4222,33.862,-117.5655
Costa Mesa,California,113615,15.7,7186,33.6659,-117.9123
Daly City,California,107008,7.6,14009,37.7009,-122.465
Downey,California,112269,12.4,9134,33.9382,-118.1309
El Cajon,California,103241,14.5,7156,32.8017,-116.9604
El Monte,California,115586,9.6,12063,34.0746,-118.0291
Elk Grove,California,172886,42.2,4022,38.4146,-121.385
Escondido,California,152213,37.1,4087,33.1331,-117.074
Fairfield,California,116884,40.9,2806,38.2593,-122.0321
Fontana,California,213739,43,4876,34.109,-117.4629
Fremont,California,237807,77.5,3008,37.4945,-121.9412
Fresno,California,530093,114.4,4563,36.7836,-119.7934
Fullerton,California,139640,22.4,6282,33.8857,-117.928
Garden Grove,California,172646,18,9714,33.7788,-117.9605
Glendale,California,201361,30.4,6606,34.1814,-118.2458
Hayward,California,159620,45.5,3493,37.6287,-122.1024
Huntington Beach,California,200641,26.9,7459,33.6906,-118.0093
Inglewood,California,109419,9.1,12160,33.9561,-118.3443
Irvine,California,282572,65.6,4057,33.6784,-117.7713
Jurupa Valley,California,108393,42.9,2414,34.0026,-117.4676
Lancaster,California,159053,94.3,1698,34.6936,-118.1753
Long Beach,California,467354,50.3,9347,33.8092,-118.1553
Los Angeles,California,3990456,468.7,8484,34.0194,-118.4108
Modesto,California,215030,43,4934,37.6375,-121.003
Moreno Valley,California,209050,51.3,4006,33.9233,-117.2057
Murrieta,California,114985,33.6,3324,33.5721,-117.1904
Norwalk,California,105120,9.7,10946,33.9076,-118.0835
Oakland,California,429082,55.9,7514,37.7698,-122.2257
Oceanside,California,176080,41.3,4249,33.2245,-117.3062
Ontario,California,181107,49.9,3471,34.0394,-117.6042
Orange,California,139484,25.4,5532,33.787,-117.8613
Oxnard,California,209877,26.9,7729,34.2023,-119.2046
Palmdale,California,156667,106,1484,34.591,-118.1054
Pasadena,California,141371,23,6176,34.1606,-118.1396
Pomona,California,152361,23,6630,34.0585,-117.7611
Rancho Cucamonga,California,177751,40,4413,34.1233,-117.5642
Rialto,California,103440,22.3,4633,34.1118,-117.3883
Richmond,California,110146,30.1,3648,37.9523,-122.3606
Riverside,California,330063,81.2,3999,33.9381,-117.3932
Roseville,California,139117,43,3085,38.769,-121.3189
Sacramento,California,508529,97.9,5059,38.5666,-121.4686
Salinas,California,156259,23.6,6662,36.6902,-121.6337
San Bernardino,California,215941,61.5,3516,34.1416,-117.2936
San Diego,California,1425976,325.2,4325,32.8153,-117.135
San Francisco,California,883305,46.9,18569,37.7272,-123.0322
San Jose,California,1030119,177.5,5777,37.2967,-121.8189
San Mateo,California,105025,12.1,8592,37.5603,-122.3106
Santa Ana,California,332725,27.1,12333,33.7363,-117.883
Santa Clara,California,129488,18.4,6845,37.3646,-121.9679
Santa Clarita,California,210089,52.8,3446,34.403,-118.5042
Santa Maria,California,107408,22.8,4662,34.9332,-120.4438
Santa Rosa,California,177586,41.3,4241,38.4468,-122.7061
